particle_count,timesteps,sample,time
10000,50,21,23.506
10000,50,22,23.473
10000,50,23,23.509
10000,50,24,23.386
10000,50,25,23.533
10000,50,26,23.370
10000,50,27,23.488
10000,50,28,23.489
10000,50,29,23.497
10000,50,30,23.429
15000,10,1,10.673
15000,10,2,10.677
15000,10,3,10.571
15000,10,4,10.667
15000,10,5,10.667
15000,10,6,10.609
15000,10,7,10.589
15000,10,8,10.588
15000,10,9,10.640
15000,10,10,10.669
15000,10,11,10.600
15000,10,12,10.722
15000,10,13,10.692
15000,10,14,10.653
15000,10,15,10.577
15000,10,16,10.599
15000,10,17,10.578
15000,10,18,10.572
15000,10,19,10.663
15000,10,20,10.656
15000,10,21,10.687
15000,10,22,10.624
15000,10,23,10.578
15000,10,24,10.629
15000,10,25,10.661
15000,10,26,10.660
15000,10,27,10.662
15000,10,28,10.654
15000,10,29,10.650
15000,10,30,10.660
15000,50,1,52.885
15000,50,2,53.306
15000,50,3,52.883
15000,50,4,52.984
15000,50,5,53.030
15000,50,6,53.035
15000,50,7,53.517
15000,50,8,53.116
15000,50,9,52.962
15000,50,10,53.391
15000,50,11,53.445
15000,50,12,53.609
15000,50,13,53.243
15000,50,14,53.199
15000,50,15,52.967
15000,50,16,53.269
15000,50,17,53.563
15000,50,18,53.019
15000,50,19,52.928
15000,50,20,52.932
15000,50,21,53.318
15000,50,22,53.180
15000,50,23,52.848
15000,50,24,52.867
15000,50,25,52.992
15000,50,26,52.902
15000,50,27,53.116
15000,50,28,53.012
15000,50,29,52.897
15000,50,30,53.199
25000,10,1,29.434
25000,10,2,29.730
25000,10,3,29.786
25000,10,4,29.766
25000,10,5,29.518
25000,10,6,29.830
25000,10,7,29.628
25000,10,8,29.667
25000,10,9,29.704
25000,10,10,29.726
25000,10,11,29.683
25000,10,12,29.613
25000,10,13,29.682
25000,10,14,29.661
25000,10,15,29.618
25000,10,16,29.714
25000,10,17,29.722
25000,10,18,29.808
25000,10,19,29.533
25000,10,20,29.634
25000,10,21,29.839
25000,10,22,29.756
25000,10,23,29.786
25000,10,24,29.623
25000,10,25,29.520
25000,10,26,29.737
25000,10,27,29.599
25000,10,28,29.681
25000,10,29,29.728
25000,10,30,29.720
25000,50,1,150.972
25000,50,2,149.976
25000,50,3,148.637
25000,50,4,148.805
25000,50,5,149.723
25000,50,6,150.577
25000,50,7,152.775
25000,50,8,152.601
25000,50,9,152.245
25000,50,10,152.901
25000,50,11,151.183
25000,50,12,149.608
25000,50,13,148.566
25000,50,14,147.776
25000,50,15,148.088
25000,50,16,147.951
25000,50,17,149.524
25000,50,18,149.643
25000,50,19,149.505
25000,50,20,149.891
25000,50,21,148.510
25000,50,22,148.321
25000,50,23,147.263
25000,50,24,147.483
25000,50,25,148.664
25000,50,26,148.684
25000,50,27,151.730
25000,50,28,149.319
25000,50,29,149.759
25000,50,30,149.093
40000,10,1,76.823
40000,10,2,77.791
40000,10,3,76.633
40000,10,4,77.719
40000,10,5,77.492
40000,10,6,77.544
40000,10,7,77.226
40000,10,8,77.937
40000,10,9,77.504
40000,10,10,76.956
40000,10,11,77.777
40000,10,12,77.404
40000,10,13,77.644
40000,10,14,78.163
40000,10,15,78.440
40000,10,16,77.912
40000,10,17,77.761
40000,10,18,77.839
40000,10,19,77.304
40000,10,20,77.898
40000,10,21,78.382
40000,10,22,78.197
40000,10,23,77.822
40000,10,24,77.857
40000,10,25,77.855
40000,10,26,77.907
40000,10,27,78.532
40000,10,28,78.091
40000,10,29,77.941
40000,10,30,78.471
40000,50,1,387.002
40000,50,2,384.933
40000,50,3,387.450
40000,50,4,385.514
40000,50,5,383.155
40000,50,6,385.531
40000,50,7,385.244
40000,50,8,391.067
40000,50,9,390.521
40000,50,10,390.057
40000,50,11,388.737
40000,50,12,388.370
40000,50,13,384.208
40000,50,14,384.345
40000,50,15,397.504
40000,50,16,397.497
40000,50,17,385.172
40000,50,18,383.728
40000,50,19,393.751
40000,50,20,399.964
40000,50,21,403.814
40000,50,22,399.353
40000,50,23,388.141
40000,50,24,399.926
40000,50,25,390.516
40000,50,26,392.291
40000,50,27,389.824
40000,50,28,396.952
40000,50,29,397.081
40000,50,30,398.197
